# Simulation 2 (Up to date)
# 1133 data points written for 4 variables.
#
Mass (g),Motor mass (g),CG location (cm),Reference length (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
3.933e4,1.227e4,358.652,15.7
3.933e4,1.227e4,358.651,15.7
3.933e4,1.227e4,358.651,15.7
3.933e4,1.227e4,358.643,15.7
3.932e4,1.226e4,358.623,15.7
3.931e4,1.225e4,358.603,15.7
3.93e4,1.224e4,358.583,15.7
3.929e4,1.223e4,358.558,15.7
# Event LIFTOFF occurred at t=0.09 seconds
3.928e4,1.221e4,358.512,15.7
3.926e4,1.22e4,358.467,15.7
3.924e4,1.218e4,358.421,15.7
3.922e4,1.216e4,358.375,15.7
3.92e4,1.214e4,358.327,15.7
3.918e4,1.212e4,358.276,15.7
3.916e4,1.21e4,358.225,15.7
3.914e4,1.208e4,358.175,15.7
3.913e4,1.206e4,358.126,15.7
3.911e4,1.204e4,358.076,15.7
3.909e4,1.203e4,358.027,15.7
3.907e4,1.201e4,357.977,15.7
3.905e4,1.199e4,357.928,15.7
3.903e4,1.197e4,357.878,15.7
3.901e4,1.195e4,357.829,15.7
3.899e4,1.193e4,357.78,15.7
3.897e4,1.191e4,357.73,15.7
3.895e4,1.189e4,357.68,15.7
3.893e4,1.187e4,357.631,15.7
3.892e4,1.185e4,357.581,15.7
3.89e4,1.183e4,357.531,15.7
3.888e4,1.182e4,357.482,15.7
3.886e4,1.18e4,357.432,15.7
3.884e4,1.178e4,357.382,15.7
3.882e4,1.176e4,357.332,15.7
3.88e4,1.174e4,357.282,15.7
3.878e4,1.172e4,357.232,15.7
3.876e4,1.17e4,357.182,15.7
3.874e4,1.168e4,357.132,15.7
3.872e4,1.166e4,357.082,15.7
3.871e4,1.164e4,357.032,15.7
3.869e4,1.162e4,356.981,15.7
3.867e4,1.161e4,356.931,15.7
3.865e4,1.159e4,356.88,15.7
# Event LAUNCHROD occurred at t=0.43 seconds
3.863e4,1.157e4,356.829,15.7
3.86e4,1.154e4,356.753,15.7
3.856e4,1.149e4,356.637,15.7
3.849e4,1.143e4,356.464,15.7
3.839e4,1.133e4,356.206,15.7
3.83e4,1.124e4,355.947,15.7
3.82e4,1.114e4,355.686,15.7
3.81e4,1.104e4,355.423,15.7
3.801e4,1.094e4,355.157,15.7
3.791e4,1.085e4,354.889,15.7
3.781e4,1.075e4,354.621,15.7
