Mach Number,Alpha (deg),Protuberance (%),CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CN Total,CP Total
0.01,6.0,0.0,0.633,0.608,0.562,0.537,0.701,85.95
0.01,6.0,1.0,0.888,0.863,0.819,0.794,0.701,85.95
0.01,8.0,0.0,0.692,0.667,0.567,0.542,0.935,85.95
0.01,8.0,1.0,0.948,0.923,0.826,0.801,0.935,85.95
0.02,6.0,0.0,0.662,0.637,0.592,0.567,0.701,85.95
0.02,6.0,1.0,0.917,0.892,0.849,0.823,0.701,85.95
0.02,8.0,0.0,0.722,0.696,0.597,0.572,0.935,85.95
0.02,8.0,1.0,0.978,0.952,0.856,0.83,0.935,85.95
0.03,6.0,0.0,0.658,0.633,0.588,0.563,0.701,85.95
0.03,6.0,1.0,0.913,0.888,0.844,0.819,0.701,85.95
0.03,8.0,0.0,0.717,0.692,0.593,0.568,0.935,85.95
0.03,8.0,1.0,0.974,0.948,0.852,0.826,0.935,85.95
0.04,6.0,0.0,0.65,0.625,0.58,0.555,0.701,85.95
0.04,6.0,1.0,0.905,0.88,0.836,0.811,0.701,85.95
0.04,8.0,0.0,0.709,0.684,0.585,0.56,0.935,85.95
0.04,8.0,1.0,0.965,0.94,0.844,0.818,0.935,85.95
0.05,6.0,0.0,0.642,0.617,0.572,0.547,0.701,85.95
0.05,6.0,1.0,0.897,0.872,0.828,0.803,0.701,85.95
0.05,8.0,0.0,0.701,0.676,0.577,0.551,0.935,85.95
0.05,8.0,1.0,0.957,0.932,0.835,0.81,0.935,85.95
0.06,6.0,0.0,0.636,0.611,0.566,0.541,0.701,85.95
0.06,6.0,1.0,0.891,0.866,0.822,0.797,0.701,85.95
0.06,8.0,0.0,0.695,0.67,0.571,0.545,0.935,85.95
0.06,8.0,1.0,0.951,0.926,0.829,0.804,0.935,85.95
0.07,6.0,0.0,0.633,0.608,0.563,0.538,0.701,85.95
0.07,6.0,1.0,0.888,0.863,0.819,0.794,0.701,85.95
0.07,8.0,0.0,0.692,0.667,0.568,0.542,0.935,85.95
0.07,8.0,1.0,0.948,0.923,0.826,0.801,0.935,85.95
0.08,6.0,0.0,0.63,0.605,0.56,0.534,0.701,85.95
0.08,6.0,1.0,0.885,0.86,0.816,0.791,0.701,85.95
0.08,8.0,0.0,0.689,0.664,0.564,0.539,0.935,85.95
0.08,8.0,1.0,0.945,0.92,0.823,0.798,0.935,85.95
0.09,6.0,0.0,0.627,0.602,0.557,0.531,0.701,85.95
0.09,6.0,1.0,0.882,0.857,0.813,0.788,0.701,85.95
0.09,8.0,0.0,0.686,0.661,0.561,0.536,0.935,85.95
0.09,8.0,1.0,0.942,0.917,0.82,0.795,0.935,85.95
0.1,6.0,0.0,0.624,0.599,0.554,0.529,0.701,85.95
0.1,6.0,1.0,0.879,0.854,0.81,0.785,0.701,85.95
0.1,8.0,0.0,0.683,0.658,0.559,0.533,0.935,85.95
0.1,8.0,1.0,0.939,0.914,0.817,0.792,0.935,85.95
0.11,6.0,0.0,0.621,0.596,0.551,0.526,0.701,85.95
0.11,6.0,1.0,0.876,0.851,0.808,0.782,0.701,85.95
0.11,8.0,0.0,0.681,0.655,0.556,0.531,0.935,85.95
0.11,8.0,1.0,0.937,0.912,0.815,0.789,0.935,85.95
0.12,6.0,0.0,0.619,0.594,0.549,0.523,0.701,85.95
0.12,6.0,1.0,0.874,0.849,0.805,0.78,0.701,85.95
0.12,8.0,0.0,0.678,0.653,0.553,0.528,0.935,85.95
0.12,8.0,1.0,0.934,0.909,0.812,0.787,0.935,85.95
0.13,6.0,0.0,0.617,0.592,0.546,0.521,0.701,85.95
0.13,6.0,1.0,0.872,0.847,0.803,0.778,0.701,85.95
0.13,8.0,0.0,0.676,0.651,0.551,0.526,0.935,85.95
0.13,8.0,1.0,0.932,0.907,0.81,0.784,0.935,85.95
0.14,6.0,0.0,0.614,0.589,0.544,0.519,0.701,85.95
0.14,6.0,1.0,0.869,0.844,0.801,0.775,0.701,85.95
0.14,8.0,0.0,0.674,0.648,0.549,0.523,0.935,85.95
0.14,8.0,1.0,0.93,0.905,0.807,0.782,0.935,85.95
0.15,6.0,0.0,0.612,0.587,0.542,0.517,0.701,85.95
0.15,6.0,1.0,0.867,0.842,0.799,0.773,0.701,85.95
0.15,8.0,0.0,0.672,0.646,0.547,0.521,0.935,85.95
0.15,8.0,1.0,0.928,0.903,0.805,0.78,0.935,85.95
0.16,6.0,0.0,0.611,0.586,0.54,0.515,0.701,85.95
0.16,6.0,1.0,0.866,0.841,0.797,0.771,0.701,85.95
0.16,8.0,0.0,0.67,0.645,0.545,0.519,0.935,85.95
0.16,8.0,1.0,0.926,0.901,0.804,0.778,0.935,85.95
0.17,6.0,0.0,0.609,0.584,0.538,0.513,0.701,85.95
0.17,6.0,1.0,0.864,0.839,0.795,0.77,0.701,85.95
0.17,8.0,0.0,0.668,0.643,0.543,0.518,0.935,85.95
0.17,8.0,1.0,0.924,0.899,0.802,0.776,0.935,85.95
0.18,6.0,0.0,0.607,0.582,0.537,0.512,0.701,85.95
0.18,6.0,1.0,0.862,0.837,0.793,0.768,0.701,85.95
0.18,8.0,0.0,0.666,0.641,0.541,0.516,0.935,85.95
0.18,8.0,1.0,0.922,0.897,0.8,0.775,0.935,85.95
0.19,6.0,0.0,0.606,0.581,0.535,0.51,0.701,85.95
0.19,6.0,1.0,0.861,0.836,0.792,0.766,0.701,85.95
0.19,8.0,0.0,0.665,0.64,0.54,0.514,0.935,85.95
0.19,8.0,1.0,0.921,0.896,0.799,0.773,0.935,85.95
0.2,6.0,0.0,0.604,0.579,0.534,0.509,0.701,85.95
0.2,6.0,1.0,0.859,0.834,0.79,0.765,0.701,85.95
0.2,8.0,0.0,0.663,0.638,0.538,0.513,0.935,85.95
0.2,8.0,1.0,0.919,0.894,0.797,0.772,0.935,85.95
0.21,6.0,0.0,0.603,0.578,0.532,0.507,0.701,85.95
0.21,6.0,1.0,0.858,0.833,0.789,0.764,0.701,85.95
0.21,8.0,0.0,0.662,0.637,0.537,0.512,0.935,85.95
0.21,8.0,1.0,0.918,0.893,0.796,0.77,0.935,85.95
0.22,6.0,0.0,0.602,0.577,0.531,0.506,0.701,85.95
0.22,6.0,1.0,0.857,0.832,0.788,0.762,0.701,85.95
0.22,8.0,0.0,0.661,0.635,0.536,0.51,0.935,85.95
0.22,8.0,1.0,0.917,0.892,0.794,0.769,0.935,85.95
0.23,6.0,0.0,0.6,0.575,0.53,0.505,0.701,85.95
0.23,6.0,1.0,0.855,0.83,0.786,0.761,0.701,85.95
0.23,8.0,0.0,0.659,0.634,0.535,0.509,0.935,85.95
0.23,8.0,1.0,0.916,0.89,0.793,0.768,0.935,85.95
0.24,6.0,0.0,0.599,0.574,0.529,0.504,0.701,85.95
0.24,6.0,1.0,0.854,0.829,0.785,0.76,0.701,85.95
0.24,8.0,0.0,0.658,0.633,0.533,0.508,0.935,85.95
0.24,8.0,1.0,0.914,0.889,0.792,0.767,0.935,85.95
0.25,6.0,0.0,0.598,0.573,0.528,0.503,0.701,85.95
0.25,6.0,1.0,0.853,0.828,0.784,0.759,0.701,85.95
0.25,8.0,0.0,0.657,0.632,0.532,0.507,0.935,85.95
0.25,8.0,1.0,0.913,0.888,0.791,0.766,0.935,85.95
0.26,6.0,0.0,0.597,0.572,0.527,0.502,0.701,85.95
0.26,6.0,1.0,0.852,0.827,0.783,0.758,0.701,85.95
0.26,8.0,0.0,0.656,0.631,0.532,0.506,0.935,85.95
0.26,8.0,1.0,0.913,0.887,0.79,0.765,0.935,85.95
0.27,6.0,0.0,0.597,0.572,0.526,0.501,0.701,85.95
0.27,6.0,1.0,0.852,0.827,0.783,0.757,0.701,85.95
0.27,8.0,0.0,0.656,0.631,0.531,0.505,0.935,85.95
0.27,8.0,1.0,0.912,0.887,0.789,0.764,0.935,85.95
0.28,6.0,0.0,0.596,0.571,0.525,0.5,0.701,85.95
0.28,6.0,1.0,0.851,0.826,0.782,0.757,0.701,85.95
0.28,8.0,0.0,0.655,0.63,0.53,0.505,0.935,85.95
0.28,8.0,1.0,0.911,0.886,0.789,0.763,0.935,85.95
0.29,6.0,0.0,0.595,0.57,0.525,0.5,0.701,85.95
0.29,6.0,1.0,0.85,0.825,0.781,0.756,0.701,85.95
0.29,8.0,0.0,0.654,0.629,0.529,0.504,0.935,85.95
0.29,8.0,1.0,0.91,0.885,0.788,0.763,0.935,85.95
0.3,6.0,0.0,0.595,0.57,0.524,0.499,0.701,85.95
0.3,6.0,1.0,0.85,0.825,0.781,0.755,0.701,85.95
0.3,8.0,0.0,0.654,0.629,0.529,0.503,0.935,85.95
0.3,8.0,1.0,0.91,0.885,0.787,0.762,0.935,85.95
0.31,6.0,0.0,0.594,0.569,0.524,0.498,0.701,85.95
0.31,6.0,1.0,0.849,0.824,0.78,0.755,0.701,85.95
0.31,8.0,0.0,0.653,0.628,0.528,0.503,0.935,85.95
0.31,8.0,1.0,0.909,0.884,0.787,0.761,0.935,85.95
0.32,6.0,0.0,0.594,0.569,0.523,0.498,0.701,85.95
0.32,6.0,1.0,0.849,0.824,0.78,0.754,0.701,85.95
0.32,8.0,0.0,0.653,0.627,0.528,0.502,0.935,85.95
0.32,8.0,1.0,0.909,0.884,0.786,0.761,0.935,85.95
0.33,6.0,0.0,0.593,0.568,0.523,0.498,0.701,85.95
0.33,6.0,1.0,0.848,0.823,0.779,0.754,0.701,85.95
0.33,8.0,0.0,0.652,0.627,0.527,0.502,0.935,85.95
0.33,8.0,1.0,0.908,0.883,0.786,0.76,0.935,85.95
0.34,6.0,0.0,0.593,0.568,0.522,0.497,0.701,85.95
0.34,6.0,1.0,0.848,0.823,0.779,0.754,0.701,85.95
0.34,8.0,0.0,0.652,0.627,0.527,0.501,0.935,85.95
0.34,8.0,1.0,0.908,0.883,0.785,0.76,0.935,85.95
0.35,6.0,0.0,0.592,0.567,0.522,0.497,0.701,85.95
0.35,6.0,1.0,0.847,0.822,0.778,0.753,0.701,85.95
0.35,8.0,0.0,0.651,0.626,0.526,0.501,0.935,85.95
0.35,8.0,1.0,0.908,0.882,0.785,0.76,0.935,85.95
0.36,6.0,0.0,0.592,0.567,0.522,0.496,0.701,85.95
0.36,6.0,1.0,0.847,0.822,0.778,0.753,0.701,85.95
0.36,8.0,0.0,0.651,0.626,0.526,0.501,0.935,85.95
0.36,8.0,1.0,0.907,0.882,0.785,0.759,0.935,85.95
0.37,6.0,0.0,0.592,0.567,0.521,0.496,0.701,85.95
0.37,6.0,1.0,0.847,0.822,0.778,0.753,0.701,85.95
0.37,8.0,0.0,0.651,0.626,0.526,0.501,0.935,85.95
0.37,8.0,1.0,0.907,0.882,0.785,0.759,0.935,85.95
0.38,6.0,0.0,0.592,0.567,0.521,0.496,0.701,85.95
0.38,6.0,1.0,0.847,0.822,0.778,0.752,0.701,85.95
0.38,8.0,0.0,0.651,0.626,0.526,0.5,0.935,85.95
0.38,8.0,1.0,0.907,0.882,0.784,0.759,0.935,85.95
0.39,6.0,0.0,0.592,0.566,0.521,0.496,0.701,85.95
0.39,6.0,1.0,0.847,0.821,0.778,0.752,0.701,85.95
0.39,8.0,0.0,0.651,0.625,0.526,0.5,0.935,85.95
0.39,8.0,1.0,0.907,0.882,0.784,0.759,0.935,85.95
0.4,6.0,0.0,0.591,0.566,0.521,0.496,0.701,85.95
0.4,6.0,1.0,0.846,0.821,0.777,0.752,0.701,85.95
0.4,8.0,0.0,0.65,0.625,0.525,0.5,0.935,85.95
0.4,8.0,1.0,0.907,0.881,0.784,0.759,0.935,85.95
0.41,6.0,0.0,0.591,0.566,0.521,0.496,0.701,85.95
0.41,6.0,1.0,0.846,0.821,0.777,0.752,0.701,85.95
0.41,8.0,0.0,0.65,0.625,0.525,0.5,0.935,85.95
0.41,8.0,1.0,0.907,0.881,0.784,0.759,0.935,85.95
0.42,6.0,0.0,0.591,0.566,0.521,0.496,0.701,85.95
0.42,6.0,1.0,0.846,0.821,0.777,0.752,0.701,85.95
0.42,8.0,0.0,0.65,0.625,0.525,0.5,0.935,85.95
0.42,8.0,1.0,0.907,0.881,0.784,0.759,0.935,85.95
0.43,6.0,0.0,0.591,0.566,0.521,0.496,0.701,85.95
0.43,6.0,1.0,0.846,0.821,0.777,0.752,0.701,85.95
0.43,8.0,0.0,0.65,0.625,0.525,0.5,0.935,85.95
0.43,8.0,1.0,0.907,0.881,0.784,0.759,0.935,85.95
0.44,6.0,0.0,0.592,0.566,0.521,0.496,0.701,85.95
0.44,6.0,1.0,0.847,0.821,0.777,0.752,0.701,85.95
0.44,8.0,0.0,0.651,0.625,0.526,0.5,0.935,85.95
0.44,8.0,1.0,0.907,0.881,0.784,0.759,0.935,85.95
0.45,6.0,0.0,0.592,0.567,0.521,0.496,0.701,85.95
0.45,6.0,1.0,0.847,0.822,0.778,0.752,0.701,85.95
0.45,8.0,0.0,0.651,0.626,0.526,0.5,0.935,85.95
0.45,8.0,1.0,0.907,0.882,0.784,0.759,0.935,85.95
0.46,6.0,0.0,0.592,0.567,0.521,0.496,0.701,85.95
0.46,6.0,1.0,0.847,0.822,0.778,0.753,0.701,85.95
0.46,8.0,0.0,0.651,0.626,0.526,0.5,0.935,85.95
0.46,8.0,1.0,0.907,0.882,0.785,0.759,0.935,85.95
0.47,6.0,0.0,0.592,0.567,0.522,0.496,0.701,85.95
0.47,6.0,1.0,0.847,0.822,0.778,0.753,0.701,85.95
0.47,8.0,0.0,0.651,0.626,0.526,0.501,0.935,85.95
0.47,8.0,1.0,0.907,0.882,0.785,0.759,0.935,85.95
0.48,6.0,0.0,0.592,0.567,0.522,0.497,0.701,85.95
0.48,6.0,1.0,0.847,0.822,0.778,0.753,0.701,85.95
0.48,8.0,0.0,0.651,0.626,0.526,0.501,0.935,85.95
0.48,8.0,1.0,0.907,0.882,0.785,0.76,0.935,85.95
0.49,6.0,0.0,0.593,0.568,0.522,0.497,0.701,85.95
0.49,6.0,1.0,0.848,0.823,0.779,0.753,0.701,85.95
0.49,8.0,0.0,0.652,0.627,0.527,0.501,0.935,85.95
0.49,8.0,1.0,0.908,0.883,0.785,0.76,0.935,85.95
0.5,6.0,0.0,0.593,0.568,0.523,0.497,0.701,85.95
0.5,6.0,1.0,0.848,0.823,0.779,0.754,0.701,85.95
0.5,8.0,0.0,0.652,0.627,0.527,0.502,0.935,85.95
0.5,8.0,1.0,0.908,0.883,0.786,0.76,0.935,85.95
0.51,6.0,0.0,0.593,0.568,0.523,0.498,0.701,85.95
0.51,6.0,1.0,0.848,0.823,0.779,0.754,0.701,85.95
0.51,8.0,0.0,0.653,0.627,0.528,0.502,0.935,85.95
0.51,8.0,1.0,0.909,0.883,0.786,0.761,0.935,85.95
0.52,6.0,0.0,0.594,0.569,0.524,0.498,0.701,85.95
0.52,6.0,1.0,0.849,0.824,0.78,0.755,0.701,85.95
0.52,8.0,0.0,0.653,0.628,0.528,0.503,0.935,85.95
0.52,8.0,1.0,0.909,0.884,0.787,0.761,0.935,85.95
0.53,6.0,0.0,0.595,0.569,0.524,0.499,0.701,85.95
0.53,6.0,1.0,0.85,0.824,0.781,0.755,0.701,85.95
0.53,8.0,0.0,0.654,0.628,0.529,0.503,0.935,85.95
0.53,8.0,1.0,0.91,0.884,0.787,0.762,0.935,85.95
0.54,6.0,0.0,0.595,0.57,0.525,0.499,0.701,85.95
0.54,6.0,1.0,0.85,0.825,0.781,0.756,0.701,85.95
0.54,8.0,0.0,0.654,0.629,0.529,0.504,0.935,85.95
0.54,8.0,1.0,0.91,0.885,0.788,0.762,0.935,85.95
0.55,6.0,0.0,0.596,0.571,0.526,0.5,0.701,85.95
0.55,6.0,1.0,0.851,0.826,0.782,0.757,0.701,85.95
0.55,8.0,0.0,0.655,0.63,0.53,0.505,0.935,85.95
0.55,8.0,1.0,0.911,0.886,0.789,0.763,0.935,85.95
0.56,6.0,0.0,0.597,0.572,0.527,0.502,0.701,85.95
0.56,6.0,1.0,0.852,0.827,0.783,0.758,0.701,85.95
0.56,8.0,0.0,0.656,0.631,0.531,0.506,0.935,85.95
0.56,8.0,1.0,0.912,0.887,0.79,0.765,0.935,85.95
0.57,6.0,0.0,0.599,0.573,0.528,0.503,0.701,85.95
0.57,6.0,1.0,0.854,0.828,0.785,0.759,0.701,85.95
0.57,8.0,0.0,0.658,0.632,0.533,0.507,0.935,85.95
0.57,8.0,1.0,0.914,0.889,0.791,0.766,0.935,85.95
0.58,6.0,0.0,0.6,0.575,0.529,0.504,0.701,85.95
0.58,6.0,1.0,0.855,0.83,0.786,0.761,0.701,85.95
0.58,8.0,0.0,0.659,0.634,0.534,0.509,0.935,85.95
0.58,8.0,1.0,0.915,0.89,0.793,0.767,0.935,85.95
0.59,6.0,0.0,0.601,0.576,0.531,0.505,0.701,85.95
0.59,6.0,1.0,0.856,0.831,0.787,0.762,0.701,85.95
0.59,8.0,0.0,0.66,0.635,0.535,0.51,0.935,85.95
0.59,8.0,1.0,0.916,0.891,0.794,0.768,0.935,85.95
0.6,6.0,0.0,0.603,0.577,0.532,0.506,0.701,85.95
0.6,6.0,1.0,0.858,0.832,0.789,0.763,0.701,85.95
0.6,8.0,0.0,0.662,0.636,0.537,0.51,0.935,85.95
0.6,8.0,1.0,0.918,0.892,0.796,0.769,0.935,85.95
0.61,6.0,0.0,0.604,0.578,0.534,0.507,0.701,85.95
0.61,6.0,1.0,0.859,0.833,0.79,0.764,0.701,85.95
0.61,8.0,0.0,0.664,0.637,0.539,0.512,0.935,85.95
0.61,8.0,1.0,0.92,0.893,0.797,0.77,0.935,85.95
